search_batch_id	experiment_tag	sample_category	publication_name	pubmed_id	repository_identifiers
9059	Hs_Plasma_Profile_WL_Plate4B	Blood Plasma	Geyer et al. (2016)	28007936	PXD004242
9060	Hs_Plasma_Profile_WL_Plate4C	Blood Plasma	Geyer et al. (2016)	28007936	PXD004242
9061	Hs_Plasma_Profile_WL_Plate4D	Blood Plasma	Geyer et al. (2016)	28007936	PXD004242
9062	Hs_Plasma_Profile_WL_Plate4E	Blood Plasma	Geyer et al. (2016)	28007936	PXD004242
9046	Hs_Plasma_Profile_WL_Double	Blood Plasma	Geyer et al. (2016)	28007936	PXD004242
9220	HsPlasma_super-SILAC_Healthy	Blood Plasma	Harel et al. (2015)	25624350	PXD001194
9221	HsPlasma_super-SILAC_ProstateCancer	Blood Plasma	Harel et al. (2015)	25624350	PXD001194
9219	HsPlasma_super-SILAC_CLMP	Blood Plasma	Harel et al. (2015)	25624350	PXD001194
9218	HsPlasma_super-SILAC_CL	Blood Plasma	Harel et al. (2015)	25624350	PXD001194
9222	HsPlasma_super-SILAC_Secretome	Blood Plasma	Harel et al. (2015)	25624350	PXD001194
9106	Hs_Lysine_Crotonylation_Nacr	Cancer Cell Lines, Other Female Reproductive Organ	Wei et al. (2017)	28234478	PXD004307
9107	Hs_Lysine_Crotonylation_noNacr	Cancer Cell Lines, Other Female Reproductive Organ	Wei et al. (2017)	28234478	PXD004307
9108	Hs_Pituitary_Low	Pituitary Gland	Liu et al. (2017)	28678506	PXD006471
9110	Hs_Thyroid_Low	Thyroid Gland	Liu et al. (2017)	28678506	PXD006471
9109	Hs_Pituitary_Raw	Pituitary Gland	Liu et al. (2017)	28678506	PXD006471
9111	Hs_Thyroid_Raw	Thyroid Gland	Liu et al. (2017)	28678506	PXD006471
9113	Hs_Olfactory_Bulb_SDS-PAGE	Brain	Dammalli et al. (2017)	28816642	PXD005629
9112	Hs_Olfactory_Bulb_high-pH_RPLC	Brain	Dammalli et al. (2017)	28816642	PXD005629
9114	Hs_Macrophage_IAV-infection	Blood Cells	Cypryk et al. (2017)	27723984	PXD004424
9115	Hs_Ureter	Ureter	Magdeldin et al. (2016)	26442468	PXD002620
9116	Hs_Platelet_DRMs	Blood Cells	Szklanna et al. (2016)	27329341	PXD002554
9119	Hs_milk-derived-EV_QExactive	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9117	Hs_milk-derived-EV_ITCID	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9118	Hs_milk-derived-EV_ITETD	Other Anatomical Entities	van Herwijnen et al. (2016)	27601599	PXD004423
9120	Hs_hippocampus-TMT6plex	Brain	Xu et al. (2016)	26923401	PXD001987
9121	Hs_Frontotemporal_Lobes_sTBI	Brain	Xu et al. (2016)	27067185	PXD002783
9122	Hs_Centrosome	Other Anatomical Entities	Farina et al. (2016)	26655833	PXD003226
9126	Hs_Blood_Dendritic_cells-pDC	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9124	Hs_Blood_Dendritic_cells-CD16	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9125	Hs_Blood_Dendritic_cells-CD1C	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9123	Hs_Blood_Dendritic_cells-BDCA3	Blood Cells	Worah et al. (2016)	27626665	PXD004678
9127	Hs_Anal_Canal_Cancer_Squamous-Zone	Cancer, Digestive System	Herfs et al. (2017)	27976366	PXD004859
9128	Hs_Anal_Canal_Cancer_Transitional-Zone	Cancer, Digestive System	Herfs et al. (2017)	27976366	PXD004859
9129	Hs_Proteomic_Ruler_A549	Cancer Cell Lines, Lung	Wisniewski et al. (2014)	25225357	PXD000661
9130	Hs_Proteomic_Ruler_Hep-G2	Cancer Cell Lines, Liver	Wisniewski et al. (2014)	25225357	PXD000661
9131	Hs_Proteomic_Ruler_PC-3	Cancer Cell Lines, Other Male Reproductive Organ	Wisniewski et al. (2014)	25225357	PXD000661
9133	Hs_Proteomic_Ruler_Plasma	Blood Plasma	Wisniewski et al. (2014)	25225357	PXD000661
9134	Hs_Proteomic_Ruler_Hela_Silac	Cancer Cell Lines, Other Female Reproductive Organ	Wisniewski et al. (2014)	25225357	PXD000661
9132	Hs_Proteomic_Ruler_U87-MG	Cancer Cell Lines, Brain	Wisniewski et al. (2014)	25225357	PXD000661
9135	Human_ImmuneCells-Basophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9136	Human_ImmuneCells-B_memory_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9144	Human_ImmuneCells-pDC_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9142	Human_ImmuneCells-mDC_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9140	Human_ImmuneCells-Eosinophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9141	Human_ImmuneCells-Erythrocyte_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9137	Human_ImmuneCells-B_memory_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9139	Human_ImmuneCells-B_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9138	Human_ImmuneCells-B_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9143	Human_ImmuneCells-mDC_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9145	Human_ImmuneCells-pDC_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9146	Human_ImmuneCells-MOclassical_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9148	Human_ImmuneCells-MOintermediate_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9149	Human_ImmuneCells-MOnoneclassical_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9147	Human_ImmuneCells-MOclassical_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9150	Human_ImmuneCells-mTregs_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9151	Human_ImmuneCells-mTregs_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9152	Human_ImmuneCells-Neutrophil_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9154	Human_ImmuneCells-NK_bright_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9153	Human_ImmuneCells-NK_bright_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9155	Human_ImmuneCells-NK_dim_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9156	Human_ImmuneCells-NK_dim_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9158	Human_ImmuneCells-nTregs_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9157	Human_ImmuneCells-nTregs_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9159	Human_ImmuneCells-T4_CM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9167	Human_ImmuneCells-T8_CM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9168	Human_ImmuneCells-T8_CM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9160	Human_ImmuneCells-T4_CM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9164	Human_ImmuneCells-T4_EM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9172	Human_ImmuneCells-T8_EM_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9169	Human_ImmuneCells-T8_EM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9161	Human_ImmuneCells-T4_EM_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9162	Human_ImmuneCells-T4_EMRA_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9163	Human_ImmuneCells-T4_EMRA_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9165	Human_ImmuneCells-T4_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9173	Human_ImmuneCells-T8_naive_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9174	Human_ImmuneCells-T8_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9166	Human_ImmuneCells-T4_naive_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9175	Human_ImmuneCells-Th17_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9176	Human_ImmuneCells-Th1_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9177	Human_ImmuneCells-Th2_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9178	Human_ImmuneCells-Thrombocyte_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9180	Human_ImmuneCells-single_shot_steady	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9179	Human_ImmuneCells-single_shot_activated	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9182	Human_ImmuneCells-sups	Blood Cells	Rieckmann et al. (2017)	28263321	PXD004352
9181	Human_ImmuneCells-B_plasma_steady	Blood Plasma	Rieckmann et al. (2017)	28263321	PXD004352
9183	Hs_Cerebrum	Brain	Djuric et al. (2017)	28687556	PXD004076
9184	Hs_Temporal_lobe	Brain	Xu et al. (2016)	26631761	PXD002528
9186	Hs_Glioma_Stem_Cells_Phospho	Cancer Cell Lines, Brain	Niklasson et al. (2017)	28087597	PXD000970
9187	Hs_Glioma_Stem_Cells_WCL	Cancer Cell Lines, Brain	Niklasson et al. (2017)	28087597	PXD000970
9188	Hs_Liver-Metastases_FOLFOX	Cancer, Liver	Urdzik et al. (2016)	28248240	PXD001889
9190	Hs_SUMO_U2OS	Cancer Cell Lines, Bone	Hendriks et al. (2017)	28112733	PXD004927
9189	Hs_SUMO_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Hendriks et al. (2017)	28112733	PXD004927
9192	Hs_Testis_Multi-enzymes-LysC	Testis	Wang et al. (2017)	28959888	PXD006465
9194	Hs_Testis_Multi-enzymes-GluC	Testis	Wang et al. (2017)	28959888	PXD006465
9195	Hs_Testis_Multi-enzymes-Lysarginase	Testis	Wang et al. (2017)	28959888	PXD006465
9196	Hs_C-HPP_Kidney_LTQ-Orbi	Cancer, Kidney	Peng et al. (2017)	28857561	PXD006482
9197	Hs_C-HPP_Kidney_QExactive	Cancer, Kidney	Peng et al. (2017)	28857561	PXD006482
9198	Hs_Lung_NSCLC	Cancer, Lung	Fahrmann et al. (2016)	27799870	PXD002612
9199	Hs_Lung_NSCLC-Control	Lung	Fahrmann et al. (2016)	27799870	PXD002612
9208	Hs_NCI60_DeepProteome-CCRF_CEM	Cancer Cell Lines, Blood	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9200	Hs_NCI60_DeepProteome-Colo-205	Cancer Cell Lines, Digestive System	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9201	Hs_NCI60_DeepProteome-M14	Cancer Cell Lines, Skin	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9202	Hs_NCI60_DeepProteome-MCF-7	Cancer Cell Lines, Breast	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9207	Hs_NCI60_DeepProteome-H460	Cancer Cell Lines, Lung	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9203	Hs_NCI60_DeepProteome-PC-3	Cancer Cell Lines, Other Male Reproductive Organ	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9204	Hs_NCI60_DeepProteome-RXF-393	Cancer Cell Lines, Kidney	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9205	Hs_NCI60_DeepProteome-SKOV-3	Cancer Cell Lines, Ovary	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9206	Hs_NCI60_DeepProteome-U-251	Cancer Cell Lines, Brain	Moghaddas Gholami et al. (2013)	23933261	PXD005940
9213	Hs_C-HPP_Franco-Swiss_LTQ-Orbi-XL	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9209	Hs_C-HPP_Franco-Swiss_LTQ_OrbiVelos	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9210	Hs_C-HPP_Franco-Swiss_LTQ_OrbiVelos-Silac	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9212	Hs_C-HPP_Franco-Swiss_QExactive_Silac	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9211	Hs_C-HPP_Franco-Swiss_QExactive	Other Anatomical Entities	Carapito et al. (2015)	26132440	PXD002131
9215	Hs_Lung_HOPE-fixation_SF	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9214	Hs_Lung_HOPE-fixation_HOPE	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9217	Hs_Lung_HOPE-fixation_Phospho-HOPE	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9216	Hs_Lung_HOPE-fixation_Phospho-SF	Lung	Shevchuk et al. (2014)	24702127	PXD000836
9231	Hs_Fibroblasts-NHDF_ne_con	Skin	Slany et al. (2016)	27025457	PXD003415
9232	Hs_Fibroblasts-NHDF_ne_stim	Skin	Slany et al. (2016)	27025457	PXD003415
9233	Hs_Fibroblasts-NHDF_sn_con	Skin	Slany et al. (2016)	27025457	PXD003416
9234	Hs_Fibroblasts-NHDF_sn_stim	Skin	Slany et al. (2016)	27025457	PXD003417
9229	Hs_Fibroblasts-NHDF_cyt_con	Skin	Slany et al. (2016)	27025457	PXD003412
9230	Hs_Fibroblasts-NHDF_cyt_stim	Skin	Slany et al. (2016)	27025457	PXD003413
9223	Hs_Endothelial_Cell-HUVEC_cyt_con	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003406
9224	Hs_Endothelial_Cell-HUVEC_cyt_stim	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003407
9225	Hs_Endothelial_Cell-HUVEC_ne_con	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003408
9226	Hs_Endothelial_Cell-HUVEC_ne_stim	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003409
9227	Hs_Endothelial_Cell-HUVEC_sn_con	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003410
9228	Hs_Endothelial_Cell-HUVEC_sn_stim	Other Gestational Structure	Slany et al. (2016)	27025457	PXD003411
9235	Human_ProteoMinerTM_Bladder	Cancer, Urinary Bladder	Li et al. (2017)	28960076	PXD006833
9236	Human_ProteoMinerTM_Colon	Cancer, Digestive System	Li et al. (2017)	28960076	PXD006833
9237	Human_ProteoMinerTM_Kidney	Cancer, Kidney	Li et al. (2017)	28960076	PXD006833
9238	Human_ProteoMinerTM_Liver	Cancer, Liver	Li et al. (2017)	28960076	PXD006833
9239	HPP_Testis_PRM	Sperm	Carapito et al. (2017)	28891297	
9288	Hs_BCell_N-terminome_TMT10_HCD	Blood Cells			PXD006723
9287	Hs_BCell_N-terminome_TMT10_CID	Blood Cells			PXD006723
9289	Hs_THP1_Lysosome	Cancer Cell Lines, Blood	Xu et al. (2017)	28433889	PXD005748
9290	Hs_Membranes_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9291	Hs_Membranes_K562	Cancer Cell Lines, Blood	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9292	Hs_Membranes_Placenta	Placenta	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9293	Hs_HLA_Peptidome	Non Cancer Cell Lines	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9295	Hs_Total_Proteome-HCC1143	Cancer Cell Lines, Breast	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9296	Hs_Total_Proteome-HCC1937	Cancer Cell Lines, Breast	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9297	Hs_Total_Proteome-HCT116-SILAC	Cancer Cell Lines, Digestive System	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9298	Hs_Total_Proteome-JY-SILAC	Blood Cells	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9294	Hs_Total_Proteome-fibroblasts	Non Cancer Cell Lines	Bassani-Sternberg et al. (2015)	25576301	PXD000394
9299	Hs_Glyco_Monocyte	Blood Cells	Müller et al. (2017)	28404994	PXD004034
9300	Hs_Glyco_THP-1	Cancer Cell Lines, Blood	Müller et al. (2017)	28404994	PXD004034
9301	Hs_MesenchymalStemCell	Non Cancer Cell Lines	Billing et al. (2016)	26857143	PXD001856
9302	Hs_MitochondrialProteome_HEK293	Non Cancer Cell Lines	Ronci et al. (2018)	30284448	PXD010446
9303	Hs_MitochondrialProteome_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Ronci et al. (2018)	30284448	PXD010446
9304	Hs_MitochondrialProteome_HepG2	Cancer Cell Lines, Liver	Ronci et al. (2018)	30284448	PXD010446
9305	Hs_MitochondrialProteome_SHSY5Y	Cancer Cell Lines, Brain	Ronci et al. (2018)	30284448	PXD010446
9306	Hs_MitochondrialProteome_U20S	Cancer Cell Lines, Other Anatomical Entities	Ronci et al. (2018)	30284448	PXD010446
9307	Hs_EasyPhos	Cancer Cell Lines, Brain	Humphrey et al. (2018)	30190555	PXD009227
9308	Hs_DentalPulp_TAILS-N-terminomics	Other Anatomical Entities	Abbey et al. (2018)	29035686	PXD006557
9309	Hs_Testis_LMW_LysargiNase	Testis	He et al. (2018)	30277781	PXD010093
9310	Hs_Testis_LMW_Trypsin	Testis	He et al. (2018)	30277781	PXD010093
9311	Hs_hESCs_Cytosol	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9312	Hs_hESCs_Membrance	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9313	Hs_hESCs_Nucleus	Non Cancer Cell Lines	Weldemariam et al. (2018)	30203655	PXD009840
9314	Hs_PDAC	Cancer, Pancreas	Oria et al. (2018)	30172883	PXD009254
9315	HS_EPL	Placenta	Xin et al. (2016)	26947931	PXD002391
9317	Hs_SUMO_Hela_2	Cancer Cell Lines, Other Female Reproductive Organ	Hendriks et al. (2017)	28112733	PXD004927
9316	Hs_SUMO_U2OS_2	Cancer Cell Lines, Bone	Hendriks et al. (2017)	28112733	PXD004927
9318	Hs_Saliva_Proteome-Plasma	Blood Plasma	Grassl et al. (2016)	27102203	PXD003028
9319	Hs_Saliva_Proteome-Saliva	Digestive System	Grassl et al. (2016)	27102203	PXD003028
9320	Hs_OlfactoryEpithelialTissue	Olfactory system	Hwang et al. (2018)	30113170	PXD010025
9323	Hs_Testis_Lys-C	Testis	Sun et al. (2018)	30280576	PXD009737
9322	Hs_Testis_Trypsin	Testis	Sun et al. (2018)	30280576	PXD009737
9321	Hs_Testis_GluC	Testis	Sun et al. (2018)	30280576	PXD009737
9324	Hs_QtI_CSF	Cerebrospinal Fluid	Corthésy et al. (2018)	29695160	PXD008029
9325	Hs_QtI_Plasma	Blood Plasma	Corthésy et al. (2018)	29695160	PXD008029
9326	Hs_UVPD_Phospho-HCC70_CID	Cancer Cell Lines, Breast	Robinson et al. (2016)	27425180	PXD003904
9327	Hs_UVPD_Phospho-HCC70_HCD	Cancer Cell Lines, Breast	Robinson et al. (2016)	27425180	PXD003904
9328	Hs_UVPD_Phospho-Hela_HCD	Cancer Cell Lines, Other Female Reproductive Organ	Robinson et al. (2016)	27425180	PXD003904
9329	Hs_UVPD_Phospho-Hela_CID	Cancer Cell Lines, Other Female Reproductive Organ	Robinson et al. (2016)	27425180	PXD003904
9330	Hs_CDK1_substrate-Phospho	Cancer Cell Lines, Other Female Reproductive Organ			PXD003681
9331	Hs_PARL_Hela	Cancer Cell Lines, Other Female Reproductive Organ	Wai et al. (2016)	27737933	PXD004914
9332	Hs_PARL_Hela-PartII	Cancer Cell Lines, Other Female Reproductive Organ			PXD005712
9333	Hs_Developing_Proteome	Blood Plasma	Lietzén et al. (2018)	29650987	PXD006775
9334	Hs_Platelet_GlobalProteome	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9335	Hs_Platelet_GlobalProteome-iTRAQ	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9336	Hs_Platelet_PhosphoProteome-iTRAQ	Blood Cells	Solari et al. (2016)	27535140	PXD002883
9338	Hs_NSCLCs_Phospho-LTQ_ORBI_XL	Cancer Cell Lines, Lung	Wang et al. (2017)	28290473	PXD000861
9337	Hs_NSCLCs_Phospho-LTQ_ORBI_Velos	Cancer Cell Lines, Lung	Wang et al. (2017)	28290473	PXD000861
9339	Hs_CentrosomalProtein	Cancer Cell Lines, Other Anatomical Entities	Arquint et al. (2018)	29445034	PXD008272
9340	Hs_PDAC_Panc-1	Cancer Cell Lines, Pancreas	Wang et al. (2018)	29358341	PXD007890
9341	Hs_Liver-HpH-RPLC	Liver			PXD009021
9342	Hs_GPNMB_CSF	Cerebrospinal Fluid	Zigdon et al. (2015)	25775479	PXD001654
9343	Hs_B-cell_N-Glyco	Cancer Cell Lines, Blood	Deeb et al. (2014)	24190977	PXD000332
9346	Hs_Liver_QuantificationVariability	Liver	Wegler et al. (2017)	28767254	PXD003458
9347	Hs_Choroid	Eye	Dammalli et al. (2017)	28186866	PXD002273
9348	Hs_OvarianCancerCell-ES2	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9349	Hs_OvarianCancerCell-KOC-7C	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9350	Hs_OvarianCancerCell-OVAS	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9351	Hs_OvarianCancerCell-OVISE	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9352	Hs_OvarianCancerCell-OVSAYO	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9353	Hs_OvarianCancerCell-TOV-21	Cancer Cell Lines, Ovary	Creixell et al. (2015)	26388441	PXD000901
9354	HUPO-HIPP_Melanoma-Adrenal_gland	Cancer, Skin	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9355	HUPO-HIPP_Melanoma-Lung	Cancer, Skin	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9356	HUPO-HIPP_Melanoma-Lymph_node	Cancer, Skin	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9357	HUPO-HIPP_Melanoma-Small_intestine	Cancer, Skin	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9358	HUPO-HIPP_Melanoma-Soft_tissue	Cancer, Skin	Bassani-Sternberg et al. (2016)	27869121	PXD004894
9359	Hs_ThyroidCancerLines_MultiphasicLC-Chip	Cancer Cell Lines, Blood	Krisp et al. (2015)	25850434	PXD001464
9367	Hs_Heart-SMC-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9360	Hs_Heart-AF-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9375	Hs_Heart-EC-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9376	Hs_Heart-CF-cells	Heart	Doll et al. (2017)	29133944	PXD006675
9368	Hs_Heart-Ventricular-Septum	Heart	Doll et al. (2017)	29133944	PXD006675
9361	Hs_Heart-Aorta	Heart	Doll et al. (2017)	29133944	PXD006675
9363	Hs_Heart-Mitral-Valve	Heart	Doll et al. (2017)	29133944	PXD006675
9364	Hs_Heart-Pulmonary-Artery	Heart	Doll et al. (2017)	29133944	PXD006675
9365	Hs_Heart-Pulmonary-Valves	Heart	Doll et al. (2017)	29133944	PXD006675
9366	Hs_Heart-Right-Ventricle	Heart	Doll et al. (2017)	29133944	PXD006675
9372	Hs_Heart-Left-Ventricle	Heart	Doll et al. (2017)	29133944	PXD006675
9374	Hs_Heart-Right-Atrium	Heart	Doll et al. (2017)	29133944	PXD006675
9362	Hs_Heart-Left-Atrium	Heart	Doll et al. (2017)	29133944	PXD006675
9370	Hs_Heart-Aortic-Valve	Heart	Doll et al. (2017)	29133944	PXD006675
9371	Hs_Heart-Atrial-Septum	Heart	Doll et al. (2017)	29133944	PXD006675
9373	Hs_Heart-Pulmonary-Vein	Heart	Doll et al. (2017)	29133944	PXD006675
9369	Hs_Heart-AFib	Heart	Doll et al. (2017)	29133944	PXD006675
9377	Hs_Heart-Vena-cava-Inferior	Heart	Doll et al. (2017)	29133944	PXD006675
9378	Hs_Heart-Mix	Heart	Doll et al. (2017)	29133944	PXD006675
9386	Hs_ClinicalKinaseInhibitors-COLO205	Cancer Cell Lines, Digestive System	Klaeger et al. (2017)	29191878	PXD005336
9387	Hs_ClinicalKinaseInhibitors-K562	Cancer Cell Lines, Blood	Klaeger et al. (2017)	29191878	PXD005336
9388	Hs_ClinicalKinaseInhibitors-SK-N-BE2	Cancer Cell Lines, Brain	Klaeger et al. (2017)	29191878	PXD005336
9389	Hs_ClinicalKinaseInhibitors-NSCLC	Cancer, Lung	Klaeger et al. (2017)	29191878	PXD005336
9390	Hs_ClinicalKinaseInhibitors-NSCLC_Control	Lung	Klaeger et al. (2017)	29191878	PXD005336
9391	Hs_ClinicalKinaseInhibitors-EGFR-BT474	Cancer Cell Lines, Breast	Klaeger et al. (2017)	29191878	PXD005336
9392	Hs_CervicalSmear-iTRAQ	Other Anatomical Entities	Papachristou et al. (2013)	23510160	PXD000109
9393	Hs_PKA_Hela-Phospho	Cancer Cell Lines, Other Female Reproductive Organ			PXD005922
9394	Hs_C-HPP-CSF	Cerebrospinal Fluid	Macron et al. (2018)	30124047	PXD009646
9395	Hs_PGRCCancerProteome	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
9396	Hs_PGRCCancerProteome-N-glyco	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
9397	Hs_PGRCCancerProteome-Phospho	Cancer, Digestive System	Park et al. (2015)	26657352	PXD003115
9398	Hs_Loss-Less-nano-fractionator_HeLa	Cancer Cell Lines, Other Female Reproductive Organ	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9399	Hs_Membranes_Hela-PRM	Cancer Cell Lines, Other Female Reproductive Organ	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9400	Hs_Membranes_K562-PRM	Cancer Cell Lines, Blood	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9401	Hs_Membranes_Placenta-PRM	Placenta	Yuanliang Zhang et al. (2018)	30362765	PXD010630
9402	Hs_Loss-Less-nano-fractionator_EC	Cancer Cell Lines, Other Anatomical Entities	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9403	Hs_Loss-Less-nano-fractionator_GAMG	Cancer Cell Lines, Brain	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9404	Hs_Loss-Less-nano-fractionator_HEK293	Non Cancer Cell Lines	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9405	Hs_Loss-Less-nano-fractionator_HepG2	Cancer Cell Lines, Liver	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9406	Hs_Loss-Less-nano-fractionator_Jurkat	Cancer Cell Lines, Blood	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9407	Hs_Loss-Less-nano-fractionator_K562	Cancer Cell Lines, Blood	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9408	Hs_Loss-Less-nano-fractionator_LNCaP	Cancer Cell Lines, Other Male Reproductive Organ	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9409	Hs_Loss-Less-nano-fractionator_RKO	Cancer Cell Lines, Digestive System	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9410	Hs_Loss-Less-nano-fractionator_SMC	Non Cancer Cell Lines	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9411	Hs_Loss-Less-nano-fractionator_U2OS	Cancer Cell Lines, Bone	Kulak, Geyer & Mann (2017)	28126900	PXD005141
9414	Hs_Hippocampus_Control-CID	Brain	Hwang et al. (2017)	28965411	PXD007166
